Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
8690980	Performance Optimization in Mobile-Edge Computing via Deep Reinforcement Learning	2018	https://ieeexplore.ieee.org/document/8690980	Não	Simulação	Não	Não Detalha	Math	Não	6 Base Stations	MEC	Tempo
8904354	Joint Computation Offloading and Service Caching for MEC in Multi-access Networks	2019	https://ieeexplore.ieee.org/document/8904354	Não	Simulação	Não	Não Detalha	Math	Não	20 Base Stations, 200 mobile users	Híbrido	Energia, Delay
8844856	Joint Multi-User Computation Offloading and Data Caching for Hybrid Mobile Cloud/Edge Computing	2019	https://ieeexplore.ieee.org/document/8844856	Não	Simulação	Não	MATLAB	Math	Não	5 Access Points	Híbrido	Energia, Delay
8742672	Online Deep Reinforcement Learning for Computation Offloading in Blockchain-Empowered Mobile Edge Computing	2019	https://ieeexplore.ieee.org/document/8742672	Não	Simulação	Não	Não Detalha	Math	Não	50 End Devices	MEC	Average cost, Task drop rate, Average transmit time
8745530	Computation Offloading and Resource Allocation For Cloud Assisted Mobile Edge Computing in Vehicular Networks	2019	https://ieeexplore.ieee.org/document/8745530	Não	Simulação	Não	Não Detalha	Math	Não	4 RSUs	MEC	System Utility e Tempo
8286086	Data synchronization and offloading techniques for energy optimization in mobile cloud computing	2017	https://ieeexplore.ieee.org/document/8286086	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
7973020	Online Learning for Offloading and Autoscaling in Energy Harvesting Mobile Edge Computing	2017	https://ieeexplore.ieee.org/document/7973020	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Energia
8985893	A survey on computational offloading in mobile cloud computing	2019		Sim	-	-	-	-	-	-	-	-
8777373	Service-dependent task offloading for multiuser mobile edge computing system	2019	https://ieeexplore.ieee.org/document/8777373	Sim (Short Paper)	-	-	-	-	-	-	-	-
8631245	Performance Analysis of the Offloading Scheme in a Fog Computing System	2018		Sim	-	-	-	-	-	-	-	-
8644315	Federated Offloading Scheme to Minimize Latency in MEC-Enabled Vehicular Networks	2018	https://ieeexplore.ieee.org/document/8644315	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Latência
8556796	A UCB1-Based Online Job Dispatcher for Heterogeneous Mobile Edge Computing System	2018	https://ieeexplore.ieee.org/abstract/document/8556796	Não	Simulação	Não	Não Detalha	Streaming	Não	Não Detalha	MEC	Tempo
8319204	Latency-aware joint virtual machine and policy consolidation for mobile edge computing	2018	https://ieeexplore.ieee.org/abstract/document/8319204	Não	Simulação	Não	NS-3 (para simulação)	Não Detalha	Não	Não Detalha	Multi-Cloudlet	Tempo
8270631	Multi-User Computation Offloading in Mobile Edge Computing: A Behavioral Perspective	2018	https://ieeexplore.ieee.org/abstract/document/8270631	Não	Simulação	Não	Não Detalha	Math	Não	Não Detalha	MEC	Energia
7845142	Toward a new mobile cloud forensic framework	2016	https://ieeexplore.ieee.org/abstract/document/7845142	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
8885971	Optimization of Mobile MEC Offloading with Energy Harvesting and Dynamic Voltage Scaling	2019	https://ieeexplore.ieee.org/abstract/document/8885971	Não	Simulação	Não	FMAX CPU	Não Detalha	Não	4 (simulados, não detalha)	MEC	Energia
8615089	Cost Solving Model in Computation Offloading Decision Algorithm	2018	https://ieeexplore.ieee.org/abstract/document/8615089	Sim (Short Paper)	-	-	-	-	-	-	-	-
8707168	Energy-efficient computation offloading in 5G cellular networks with edge computing and D2D communications	2019	https://digital-library.theiet.org/content/journals/10.1049/iet-com.2018.5934	Sim (Short Paper)	-	-	-	-	-	-	-	-
7427078	Multi-agent and reinforcement learning based code offloading in mobile fog	2016	https://ieeexplore.ieee.org/abstract/document/7427078	Sim (Não Foca em MCC)	-	-	-	-	-	-	-	-
8653606	Energy-Efficient Computation Offloading in Cloudlet-Based Mobile Cloud Using NSGA-II	2018	https://ieeexplore.ieee.org/abstract/document/8653606	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Simulações com 3, 4 e 5 dispostivos, respectivamente (sem detalhamento de suas configurações)	Single-Cloudlet	Energia
7993896	DisCO: A distributed and concurrent offloading framework for mobile edge cloud computing	2017	https://ieeexplore.ieee.org/abstract/document/7993896	Sim (Short Paper)	-	-	-	-	-	-	-	-
8955895	FairEdge: A Fairness-Oriented Task Offloading Scheme for Iot Applications in Mobile Cloudlet Networks	2020	https://ieeexplore.ieee.org/abstract/document/8955895	Não	Simulação e Aferição	Não	MobiClique (para emular a mobilidade aleatória de cloudlets móveis para compartilhamento de tarefas e descarregamento)	Não Detalha	Não	Não Detalha	Multi-Cloudlet	Energia
7792154	Distributed Multi-Dimensional Pricing for Efficient Application Offloading in Mobile Cloud Computing	2019	https://ieeexplore.ieee.org/abstract/document/7792154	Não	Simulação e Aferição	Não	Não Detalha	Math	Não	Não Detalha	Multi-Cloudlet	Tempo
8644285	Green Fog Offloading Strategy for Heterogeneous Wireless Edge Networks	2018	https://ieeexplore.ieee.org/abstract/document/8644285	Sim (Workshop)	-	-	-	-	-	-	-	-
7877490	Mobile cloud computing architecture for computation offloading	2016	https://ieeexplore.ieee.org/abstract/document/7877490	Sim (Short Paper)	-	-	-	-	-	-	-	-
8025304	Network Aware Multi-User Computation Partitioning in Mobile Edge Clouds	2017	https://ieeexplore.ieee.org/abstract/document/8025304	Não	Simulação	Não	Mobile Object Recognition, QR-Code Recogniton	Streaming	Não	500 (simulados, não detalha)	Híbrido	Tempo
7362223	mCloud: A Context-Aware Offloading Framework for Heterogeneous Mobile Cloud	2017	https://ieeexplore.ieee.org/abstract/document/7362223	Não	Aferição	Não	PowerTutor ,ThinkAir (Apenas para comparação)	Math	Não	4. Um HTC G17, um Samsung 1997 e um Nexus 5 (para formarem uma núvem), além de um laptop Intel i5 (atuando como Cloudlet)	Cloud and Multi-Cloudlet	Tempo e Energia
8622824	Developing Offloading-Enabled Application Development Frameworks for Android Mobile Devices	2018	https://ieeexplore.ieee.org/abstract/document/8622824	Não	Aferição	Não	Trepn Profiler, Qing Cloud	ImageTools	Não	1. Huawei Honor 8 com Android OS versão 7.0, processador Hisilicon Kitin 950 com 4 GB de Memória.	Cloud and Multi-Cloudlet	Energia
7872920	Cumulus: A distributed and flexible computing testbed for edge cloud computational offloading	2016	https://ieeexplore.ieee.org/abstract/document/7872920	Sim (Não Foca em MCC)	-	-	-	-	-	-	-	-
7804293	OMCC: Organic mobile cloud computing	2016	https://ieeexplore.ieee.org/abstract/document/7804293	Sim (Short Paper)	-	-	-	-	-	-	-	-
8761160	Energy Efficient and Low Delay Partial Offloading Scheduling and Power Allocation for MEC	2019	https://ieeexplore.ieee.org/abstract/document/8761160	Não	Modelos Analíticos	Não	FOSA, JPOA-S e JPOA_Spamx (ambos para comparação)	Não Detalha	Não	Não Detalha	MEC	Energia
