Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Li2019	Cooperative computation offloading and resource allocation for mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070334256&doi=10.1109%2fICCW.2019.8756684&partnerID=40&md5=571398896a404c5d8e02e027d84be155									
Liang2019	I/O Interference Aware Multiuser Computation Offloading for Virtualized Edge Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070211975&doi=10.1109%2fICC.2019.8762042&partnerID=40&md5=d1609bb0e1c2ad68e5926484d3ce903b									
Ye2019	On the performance and optimization for MEC networks using uplink NOMA	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064729284&doi=10.1109%2fICCW.2019.8756980&partnerID=40&md5=c33823e2e6fb419209b3f3a139418f64									
Mao2019	Joint Communication and Computation Resource Optimization for NOMA-Assisted Mobile Edge Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070206341&doi=10.1109%2fICC.2019.8761996&partnerID=40&md5=5b4d14da5cdc5560b69b195b7f73d2e7									
Ning20193058	Joint Computation Offloading, Power Allocation, and Channel Assignment for 5G-Enabled Traffic Management Systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065401259&doi=10.1109%2fTII.2019.2892767&partnerID=40&md5=b6b6254806959b0d29368e54c833e491									
Yang2019	Deep Reinforcement Learning in Cache-Aided MEC Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070237774&doi=10.1109%2fICC.2019.8761349&partnerID=40&md5=d28d1129c5eab723b230745a102bf49f									
Yang2019	Latency optimization for multi-user NOMA-MEC offloading using reinforcement learning	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070404684&doi=10.1109%2fWOCC.2019.8770605&partnerID=40&md5=5e679119288c3591089eab0a947eda6a									
Zhou2019	Computation Efficiency in a Wireless-Powered Mobile Edge Computing Network with NOMA	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070209637&doi=10.1109%2fICC.2019.8761172&partnerID=40&md5=63be1e0b0a57ab133330c67d50a0b797									
Liu2019	Energy-efficient resource allocation for wireless powered cognitive mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070268344&doi=10.1109%2fICCW.2019.8756664&partnerID=40&md5=9ff6d2553cf1cddee8827c974a04f762									
Hu201942	Ready Player One: UAV-Clustering-Based Multi-Task Offloading for Vehicular VR/AR Gaming	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068856934&doi=10.1109%2fMNET.2019.1800357&partnerID=40&md5=8df89c04f2fb49be67714df970cb2923									
Messous20194964	A Game Theory Based Efficient Computation Offloading in an UAV Network	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066625556&doi=10.1109%2fTVT.2019.2902318&partnerID=40&md5=3e05fcae70266e5fc5b86f9939b5637b									
Wang201964	Computation Offloading in Multi-Access Edge Computing Using a Deep Sequential Model Based on Reinforcement Learning	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065882695&doi=10.1109%2fMCOM.2019.1800971&partnerID=40&md5=de63ff9d93054a2a599452cc32aff315									
Wu2019	Energy-Efficient Secure NOMA-Enabled Mobile Edge Computing Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069498842&doi=10.1109%2fICC.2019.8761823&partnerID=40&md5=8709ec4ee2254745a01ff7d7a4b3244f									
Liao2019	Wireless big data meets WBANs: An attempt for cooperative task process assisted with MEC	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070266254&doi=10.1109%2fICCW.2019.8756938&partnerID=40&md5=8d69cacdf41aa4a9d94d01a39106d6f3									
Dong2019	Improving energy efficiency of ultra-reliable low-latency and delay tolerant services in mobile edge computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070334524&doi=10.1109%2fICCW.2019.8757134&partnerID=40&md5=190b4d05b2121f3edf72058c45ea76fd									
Zhu2019	Reliability-optimal offloading in multi-server edge computing networks with transmissions carried by finite blocklength codes	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070256592&doi=10.1109%2fICCW.2019.8757175&partnerID=40&md5=92baaad2c4f32dd977a601641640ca86									
Mitsis2019	Intelligent dynamic data offloading in a competitive Mobile Edge Computing market	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065912150&doi=10.3390%2ffi11050118&partnerID=40&md5=d1b5a2e10968a5f013710a34d39369bc									
Liu20191302	MEC-Assisted panoramic VR video streaming over millimeter wave mobile networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055024469&doi=10.1109%2fTMM.2018.2876044&partnerID=40&md5=8981f861be7f10bd24794865b0888042									
Wang2019	Optimal Resource Allocation for Multi-User MEC with Arbitrary Task Arrival Times and Deadlines	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070190297&doi=10.1109%2fICC.2019.8761684&partnerID=40&md5=450691de5d609907fa34f528b218a40b									
Islam2019325	Poster abstract: On-device training from sensor data on batteryless platforms	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066630682&doi=10.1145%2f3302506.3312611&partnerID=40&md5=90de85950875c31b5cfec72ae0492c2e									
Meng201990	Deep reinforcement learning based task offloading algorithm for mobile-edge computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068837386&doi=10.1145%2f3325730.3325732&partnerID=40&md5=47fde6f0d0afed0c5f9bc05a23ab5db2									
Meng201966	Deep reinforcement learning based delay-sensitive task scheduling and resource management algorithm for multi-user mobile-edge computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068845122&doi=10.1145%2f3325730.3325731&partnerID=40&md5=b8c11402fc98b9e0ac55fe6e08998e83									
Kulkarni2019	When not to offload? analyzing offload feasibility in mobile cloud computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065338157&doi=10.1109%2fMOBISECSERV.2019.8686724&partnerID=40&md5=7df929c0fc8ca806a3b25c6d5f120a24									
Halabi2019370	Toward Secure Resource Allocation in Mobile Cloud Computing: A Matching Game	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064990333&doi=10.1109%2fICCNC.2019.8685509&partnerID=40&md5=9fc0a72f4149c58d290537980102c1d1									
DeMaio2019127	Multi-objective mobile edge provisioning in small cell clouds	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064838443&doi=10.1145%2f3297663.3310301&partnerID=40&md5=06ce784722706a4e4ec1a4e34c15592f									
Joseph2019	Dynamic Computation Offloading in Mobile-Edge-Cloud Computing Systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074763582&doi=10.1109%2fWCNC.2019.8885461&partnerID=40&md5=4015d234b02d539c9a04b5206b543b4b									
Zheng2019150	Simulation study on latency-aware network in edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067472615&doi=10.1109%2fCoDIT.2019.8820488&partnerID=40&md5=cd9b9eba2be80d79070707a1b2afe189									
Mahn2019	Distributed Algorithm for Energy Efficient Joint Cloud and Edge Computing with Splittable Tasks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074795162&doi=10.1109%2fWCNC.2019.8885760&partnerID=40&md5=08cb55fe5efe430895a3ce7cea88d02a									
Huang2019892	DeePar: A Hybrid Device-Edge-Cloud Execution Framework for Mobile Deep Learning Applications	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073237484&doi=10.1109%2fINFCOMW.2019.8845240&partnerID=40&md5=01fd8a546f91bcd5b8d3c99ff0a6f561									
Dab2019	Joint Optimization of Offloading and Resource Allocation Scheme for Mobile Edge Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074762109&doi=10.1109%2fWCNC.2019.8885537&partnerID=40&md5=40afa0342c49a3d77c59a7e520b0e873									
Mazouzi2019	DM2-ECOP: An Efficient Computation Offloading Policy for Multi-user Multi-cloudlet Mobile Edge Computing Environment	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065738092&doi=10.1145%2f3241666&partnerID=40&md5=b118843f4a0f0361fbfbbf97367c3e77									
Avgeris2019	Adaptive resource allocation for computation offloading: A control-theoretic approach	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065712060&doi=10.1145%2f3284553&partnerID=40&md5=ae6c524a1ad5bc38925638edaea869ef									
